100_jgaap 	 Document 
100_jgaap 	 DocumentSet 
100_jgaap 	 EventSet 
100_jgaap 	 StripHTML 
100_jgaap 	 XEDictionary 
100_jgaap 	 XEDictionaryNode 
100_jgaap 	 Xent 
100_jgaap 	 guiDriver 
100_jgaap 	 jgaap 
100_jgaap 	 kvp 
101_netweaver 	 com.sap.engine.services.dc.wsgate.DeployFault 
101_netweaver 	 com.sap.engine.services.dc.wsgate.DeployResponse 
101_netweaver 	 com.sap.managementconsole.soap.axis.sapcontrol.SAPControl_ServiceLocator 
101_netweaver 	 com.sap.managementconsole.soap.axis.sapcontrol.holders.ArrayOfStringHolder 
101_netweaver 	 com.sap.managementconsole.soap.axis.saphostcontrol.ACOperationArguments 
101_netweaver 	 com.sap.netweaver.porta.core.mock.DeployResultMock 
101_netweaver 	 com.sap.netweaver.porta.core.nw7.CoreModuleImpl 
101_netweaver 	 com.sap.netweaver.porta.core.snippets.SnippetFindJ2EEInstance 
101_netweaver 	 com.sap.netweaver.porta.mon.DeployCommand 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.client.action.SquirrelAction 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.client.gui.db.aliasproperties.ColorPropertiesController 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.client.gui.desktopcontainer.WidgetAdapter 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.client.mainframe.action.ModifyAliasAction 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.client.session.mainpanel.overview.OverviewFrame 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.client.session.schemainfo.SchemaInfoCacheSerializer 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.client.update.gui.installer.ClasspathFunctionFixer 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.fw.datasetviewer.PopupEditableIOPanel 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.fw.dialects.SqlGenerationPreferences 
102_squirrel-sql 	 net.sourceforge.squirrel_sql.fw.gui.OutputLabel 
103_sweethome3d 	 com.eteks.sweethome3d.applet.AppletApplication 
103_sweethome3d 	 com.eteks.sweethome3d.applet.HomeAppletRecorder 
103_sweethome3d 	 com.eteks.sweethome3d.applet.SweetHome3DViewer 
103_sweethome3d 	 com.eteks.sweethome3d.io.DefaultPatternTexture 
103_sweethome3d 	 com.eteks.sweethome3d.model.PatternsCatalog 
103_sweethome3d 	 com.eteks.sweethome3d.swing.FurnitureCatalogTransferHandler 
103_sweethome3d 	 com.eteks.sweethome3d.swing.HomeTransferableList 
103_sweethome3d 	 com.eteks.sweethome3d.swing.ThreadedTaskPanel 
103_sweethome3d 	 com.eteks.sweethome3d.viewcontroller.VideoController 
104_vuze 	 com.aelitis.azureus.util.NavigationHelper 
104_vuze 	 org.bouncycastle.asn1.x509.AttributeCertificateInfo 
104_vuze 	 org.bouncycastle.asn1.x9.X9FieldElement 
104_vuze 	 org.bouncycastle.crypto.params.ECKeyGenerationParameters 
104_vuze 	 org.bouncycastle.util.IPAddress 
104_vuze 	 org.gudy.azureus2.core3.util.AEMonSem 
104_vuze 	 org.gudy.azureus2.platform.win32.access.impl.AEWin32AccessImpl 
104_vuze 	 org.gudy.azureus2.ui.swt.views.configsections.ConfigSectionStats 
104_vuze 	 org.gudy.azureus2.ui.swt.views.tableitems.mytorrents.NetworksItem 
105_freemind 	 accessories.plugins.dialogs.ArrayListTransferHandler 
105_freemind 	 accessories.plugins.time.JYearChooser 
105_freemind 	 freemind.common.StringProperty 
105_freemind 	 freemind.controller.filter.condition.ConditionNotSatisfiedDecorator 
105_freemind 	 freemind.controller.filter.condition.IconNotContainedCondition 
105_freemind 	 freemind.main.EditServer 
105_freemind 	 freemind.modes.mindmapmode.actions.MoveNodeAction 
105_freemind 	 freemind.modes.mindmapmode.actions.UnderlinedAction 
105_freemind 	 tests.freemind.FreeMindMainMock 
106_checkstyle 	 com.atlassw.tools.eclipse.checkstyle.config.CheckConfiguration 
106_checkstyle 	 com.atlassw.tools.eclipse.checkstyle.config.GlobalCheckConfigurationWorkingSet 
106_checkstyle 	 com.atlassw.tools.eclipse.checkstyle.config.ResolvableProperty 
106_checkstyle 	 com.atlassw.tools.eclipse.checkstyle.config.configtypes.ResolvablePropertyResolver 
